| TOTAL     | BOOK 1    | BOOK 2    | WORD     | 
| ORDER     | ORDER     | ORDER     | ORDER    | 
| FREQUENCY | FREQUENCY | FREQUENCY | SEQUENCE | 
------------------------------------------------ 
     43     |      19   |     24    |   seat 
     43     |      25   |     18    |   duty 
     43     |      23   |     20    |   real 
     43     |      43   |      0    |carpenter 
     43     |       0   |     43    | barsad 
     42     |      29   |     13    |altogether 
     42     |      25   |     17    |   play 
     42     |      34   |      8    |passage 
     42     |      38   |      4    |   mass 
     42     |      36   |      6    |previous 
     42     |      37   |      5    | famous 
     42     |      38   |      4    | darted 
     42     |       8   |     34    |  chair 
     42     |      15   |     27    |   save 
     42     |      13   |     29    | spoken 
     42     |      13   |     29    |  shook 
     42     |      34   |      8    |   gold 
     42     |      30   |     12    |   cast 
     42     |      42   |      0    | seamen 
     42     |      42   |      0    |wondrous 
     41     |      29   |     12    | supper 
     41     |      40   |      1    |  queer 
     41     |      14   |     27    | london 
     41     |      32   |      9    |    mad 
     41     |      29   |     12    |  smoke 
     41     |      15   |     26    |  glass 
     41     |      18   |     23    |   sake 
     41     |      18   |     23    |  lying 
     41     |      21   |     20    |    age 
     41     |      40   |      1    |   brow 
     41     |      12   |     29    |  force 
     41     |       5   |     36    |  guard 
     41     |      41   |      0    |  lance 
     40     |      39   |      1    |plainly 
     40     |      39   |      1    |monster 
     40     |      23   |     17    |  bound 
     40     |      11   |     29    |appearance 
     40     |      15   |     25    | return 
     40     |      39   |      1    | mortal 
     40     |      28   |     12    |leaning 
     40     |      26   |     14    | seated 
     40     |      32   |      8    |     ha 
     40     |      23   |     17    |   tall 
     40     |      21   |     19    |   spot 
     40     |      31   |      9    |  didnt 
     40     |      27   |     13    |feeling 
     40     |      19   |     21    |  floor 
     40     |      26   |     14    |  sweet 
     40     |      26   |     14    |  scene 
     40     |      20   |     20    |   died 
     40     |      35   |      5    |  turns 
     40     |      23   |     17    |speaking 
     40     |      30   |     10    |   born 
     40     |      31   |      9    |intervals 
     40     |       9   |     31    |influence 
     40     |       9   |     31    | change 
     40     |      40   |      0    |forecastle 
     39     |      27   |     12    |finally 
     39     |      24   |     15    |  storm 
     39     |      20   |     19    |sitting 
     39     |      31   |      8    |visible 
     39     |      13   |     26    |  bench 
     39     |      31   |      8    |weather 
     39     |      28   |     11    |thinking 
     39     |      23   |     16    |    hot 
     39     |      21   |     18    |   ways 
     39     |      10   |     29    | closed 
     39     |       6   |     33    |confidence 
     39     |       8   |     31    |expression 
     39     |      16   |     23    |happened 
     38     |      28   |     10    |ancient 
     38     |      17   |     21    |friends 
     38     |      34   |      4    | killed 
     38     |      36   |      2    |  coast 
     38     |      26   |     12    |  carry 
     38     |      29   |      9    |  fresh 
     38     |      13   |     25    |  money 
     38     |      19   |     19    |presented 
     38     |      19   |     19    |  worse 
     38     |      33   |      5    |completely 
     38     |      21   |     17    | follow 
     38     |      12   |     26    |   bent 
     38     |      28   |     10    | glance 
     38     |      26   |     12    |pointed 
     38     |       8   |     30    |     la 
     38     |      19   |     19    |copyright 
     38     |      38   |      0    | sailed 
     38     |      38   |      0    |   oars 
     37     |      19   |     18    |license 
     37     |      26   |     11    | degree 
     37     |      13   |     24    |  sense 
     37     |      29   |      8    |  final 
     37     |      21   |     16    |subject 
     37     |      22   |     15    |terrible 
     37     |      22   |     15    |   drew 
     37     |      15   |     22    |children 
     37     |      23   |     14    | remain 
     37     |       4   |     33    |doctors 
     37     |      18   |     19    |agreement 
     37     |      37   |      0    |masthead 
     37     |      37   |      0    |bulwarks 
     37     |      37   |      0    |   bone 
     36     |      26   |     10    |   talk 
     36     |      19   |     17    |   lamp 
     36     |      31   |      5    |rolling 
     36     |      27   |      9    | hearts 
     36     |      25   |     11    |learned 
     36     |      16   |     20    | breath 
     36     |      16   |     20    | charge 
     36     |      10   |     26    | papers 
     36     |      30   |      6    |  miles 
     36     |      13   |     23    |   paid 
     36     |      27   |      9    | wooden 
     36     |      14   |     22    |shadows 
     36     |      29   |      7    | stands 
     36     |      30   |      6    |   soft 
     36     |       6   |     30    |tonight 
     36     |      14   |     22    |  worth 
     36     |      32   |      4    | proper 
     36     |      18   |     18    |  drink 
     36     |      24   |     12    |strength 
     36     |      31   |      5    |    dye 
     36     |      29   |      7    | hammer 
     36     |       7   |     29    |  happy 
     36     |      36   |      0    |greenland 
     36     |      36   |      0    |   cape 
     36     |      36   |      0    |whaleman 
     36     |      36   |      0    | flukes 
     36     |      36   |      0    |steelkilt 
     35     |      15   |     20    |character 
     35     |      23   |     12    |   coat 
     35     |      31   |      4    |generally 
     35     |       6   |     29    |  tears 
     35     |      23   |     12    |history 
     35     |       5   |     30    |   gate 
     35     |      26   |      9    |  kings 
     35     |      22   |     13    |striking 
     35     |      29   |      6    |   hell 
     35     |      24   |     11    |regular 
     35     |      11   |     24    |service 
     35     |      22   |     13    | filled 
     35     |      21   |     14    |  spare 
     35     |      26   |      9    |circumstance 
     35     |      14   |     21    | notice 
     35     |      14   |     21    |written 
     35     |      34   |      1    |sailing 
     35     |       7   |     28    | danger 
     35     |      35   |      0    |pacific 
     35     |      35   |      0    | daggoo 
     35     |       0   |     35    |courtyard 
     34     |      32   |      2    |  brain 
     34     |      31   |      3    |species 
     34     |      10   |     24    |pursued 
     34     |      30   |      4    |  upper 
     34     |      28   |      6    |considerable 
     34     |      27   |      7    | flying 
     34     |      14   |     20    |entered 
     34     |      22   |     12    | higher 
     34     |      13   |     21    | honest 
     34     |      19   |     15    |solitary 
     34     |      30   |      4    |substance 
     34     |      21   |     13    |   step 
     34     |      20   |     14    |    son 
     34     |      23   |     11    | escape 
     34     |      29   |      5    |suspended 
     34     |       9   |     25    |shoulder 
     34     |      34   |      0    |skeleton 
     34     |      34   |      0    | ashore 
     34     |      34   |      0    |american 
     33     |      32   |      1    |   bulk 
     33     |      30   |      3    |  steel 
     33     |      18   |     15    |engaged 
     33     |       5   |     28    |windows 
     33     |      29   |      4    | tossed 
     33     |      22   |     11    |wonderful 
     33     |      15   |     18    |  grass 
     33     |      10   |     23    |changed 
     33     |      23   |     10    | hidden 
     33     |      26   |      7    |     st 
     33     |      23   |     10    |  alive 
     33     |      23   |     10    |  burst 
     33     |       6   |     27    |  shoes 
     33     |      31   |      2    |    woe 
     33     |      25   |      8    |bearing 
     33     |      16   |     17    |moments 
     33     |       6   |     27    |   tone 
     33     |       7   |     26    |  today 
     33     |      33   |      0    |   skin 
     33     |      33   |      0    |  sails 
     33     |       0   |     33    |republic 
     32     |      26   |      6    |midnight 
     32     |      26   |      6    |   kill 
     32     |      27   |      5    |  sides 
     32     |      27   |      5    |    lie 
     32     |      15   |     17    | afraid 
     32     |      30   |      2    | island 
     32     |      10   |     22    |occasion 
     32     |      25   |      7    |   drop 
     32     |      11   |     21    |  horse 
     32     |      23   |      9    |   aint 
     32     |      18   |     14    |    pay 
     32     |      16   |     16    |pleasant 
     32     |      10   |     22    |   pity 
